Time,Price
2025-08-05 14:49:05,3372.185
2025-08-05 14:52:24,3372.01
2025-08-05 14:52:46,3371.985
2025-08-05 14:53:48,3371.795
2025-08-05 14:54:34,3371.79
2025-08-05 14:55:23,3373.0
2025-08-05 14:55:28,3372.99
2025-08-05 14:56:24,3373.215
2025-08-05 14:56:56,3373.095
2025-08-05 14:57:08,3373.155
2025-08-05 14:58:00,3373.795
2025-08-05 14:58:59,3373.74
2025-08-05 14:59:19,3373.925
2025-08-05 15:00:20,3372.58
2025-08-05 15:01:21,3373.015
2025-08-05 15:14:31,3372.25
2025-08-05 15:14:36,3372.195
2025-08-05 15:14:40,3372.275
2025-08-05 15:14:41,3372.275
2025-08-05 15:14:44,3372.22
2025-08-05 15:14:46,3372.21
2025-08-05 15:14:50,3372.22
2025-08-05 15:14:52,3372.095
2025-08-05 15:15:09,3371.925
2025-08-05 15:15:17,3372.19
2025-08-05 15:15:20,3372.19
2025-08-05 15:15:36,3371.925
2025-08-05 15:15:56,3371.77
2025-08-05 15:15:58,3371.88
2025-08-05 15:16:01,3372.725
2025-08-05 15:16:24,3372.33
2025-08-05 15:16:36,3372.43
2025-08-05 15:17:36,3371.68
2025-08-05 15:18:14,3371.62
2025-08-05 15:18:36,3371.77
2025-08-05 15:19:36,3372.0
2025-08-05 15:20:36,3372.555
2025-08-05 15:21:36,3373.155
2025-08-05 15:22:36,3374.065
2025-08-05 15:23:36,3374.2
2025-08-05 15:24:37,3373.97
2025-08-05 15:25:27,3373.125
2025-08-05 16:17:57,3365.755
2025-08-05 16:18:07,3365.76
2025-08-05 16:18:10,3365.665
2025-08-05 16:18:13,3365.745
2025-08-05 16:18:15,3365.815
2025-08-05 16:18:51,3365.785
2025-08-05 16:19:54,3365.3950000000004
2025-08-05 16:20:54,3365.67
2025-08-05 16:21:54,3365.665
2025-08-05 16:22:54,3365.8450000000003
2025-08-05 16:24:34,3365.625
2025-08-05 16:25:35,3365.58
2025-08-05 16:26:35,3365.445
2025-08-05 16:33:00,3363.61
2025-08-05 16:34:29,3363.8900000000003
2025-08-05 16:39:21,3363.28
2025-08-05 16:40:32,3362.505
2025-08-05 16:41:35,3362.42
2025-08-05 16:42:36,3363.115
2025-08-05 16:43:36,3363.035
2025-08-05 16:44:36,3363.355
2025-08-05 16:45:36,3363.67
2025-08-05 16:46:35,3363.08
2025-08-05 16:49:53,3365.32
2025-08-05 16:50:58,3364.78
2025-08-05 16:51:58,3363.9300000000003
2025-08-05 16:52:58,3363.215
2025-08-05 16:53:59,3362.8900000000003
2025-08-05 16:54:58,3360.8
2025-08-05 16:55:26,3360.525
2025-08-05 16:55:29,3360.535
2025-08-05 16:55:31,3360.625
2025-08-05 16:55:34,3360.6000000000004
2025-08-05 16:55:58,3360.175
2025-08-05 16:57:33,3360.275
2025-08-05 16:58:33,3360.1850000000004
2025-08-06 15:53:40,3366.24
2025-08-06 16:00:56,3366.105
2025-08-06 16:04:38,3366.6400000000003
2025-08-06 16:04:49,3366.7
2025-08-06 16:04:58,3366.3900000000003
2025-08-06 16:05:02,3366.4
2025-08-06 16:05:11,3366.7700000000004
2025-08-06 16:05:14,3366.78
2025-08-06 16:05:43,3366.375
2025-08-06 16:06:43,3367.12
2025-08-06 16:07:43,3366.3
2025-08-06 16:08:43,3366.3500000000004
2025-08-06 16:09:43,3366.2
2025-08-06 16:11:32,3365.255
2025-08-06 16:12:32,3365.55
